medicine_id,medicine_name,category,manufacturer,form,dosage_mg,price,expiry_date,stock_quantity,status
M081,Cetirizine,Diabetes,XYZ Labs,Syrup,250,119.26,2024-06-14,-10,active
M082,Vitamin D,Diabetes,HealthCorp,Injection,250,,2024-02-28,296,
M083,Ibuprofen,Supplement,ABC Pharma,Injection,,-50,2023-09-14,456,
M084,Cetirizine,Antibiotic,Wellness Ltd,Injection,500,76.18,2024-08-25,142,Active
M085,Cetirizine,Pain Relief,MedLife,Tablet,,-50,2024-11-20,-10,Inactive
M086,Amoxicillin,Allergy,HealthCorp,Tablet,500,-50,2024-09-19,,
M087,Metformin,Antibiotic,HealthCorp,Tablet,500,,2024-09-23,,
M088,Metformin,Allergy,ABC Pharma,Capsule,500,,2024-07-05,,
M089,Cetirizine,Pain Relief,Wellness Ltd,Capsule,500,-50,2024-09-04,164,Active
M090,Insulin,Antibiotic,XYZ Labs,Tablet,650,-50,2023-12-22,-10,
M091,Amoxicillin,Allergy,ABC Pharma,Capsule,250,,2024-09-27,326,active
M092,Vitamin D,Supplement,MedLife,Injection,500,-50,2024-12-26,10,Active
M093,Amoxicillin,Diabetes,ABC Pharma,Injection,650,,2023-12-14,,Active
M094,Ibuprofen,Allergy,Wellness Ltd,Injection,,72.55,2025-04-25,29,Active
M095,Insulin,Pain Relief,ABC Pharma,Syrup,850,-50,2024-12-08,-10,Active
M096,Metformin,Supplement,ABC Pharma,Injection,650,,2025-03-20,,active
M097,Amoxicillin,Pain Relief,XYZ Labs,Tablet,250,,2023-09-04,-10,Active
M098,Cetirizine,Pain Relief,Wellness Ltd,Injection,650,387.07,2024-03-10,35,active
M099,Metformin,Diabetes,MedLife,Tablet,500,,2024-04-26,417,active
M100,Insulin,Allergy,ABC Pharma,Capsule,,,2025-02-22,,Active
